non_omiga,non_omiga_e,A_added22,B_added22,A_added23,B_added23,A_added24,B_added24,A_added32,B_added32,A_added33,B_added33,A_added34,B_added34,A_added42,B_added42,A_added43,B_added43,A_added44,B_added44,
6.47209,12.7553,1.0352,-0.00386707,-9.77737e-09,-7.62285e-07,0.01614,0.147192,2.21041e-08,-7.98046e-07,0.311417,0.0603934,-4.69596e-09,5.96082e-07,0.0160191,-0.168741,-9.46441e-10,-7.44115e-07,0.0291652,-0.000995516,
4.57646,7.71805,0.949338,0.397158,-1.90101e-08,9.48834e-08,0.0110403,0.202853,4.1468e-10,1.36862e-07,0.308331,0.376153,6.43894e-09,-1.57983e-07,0.0100986,-0.0963759,-1.10545e-08,-9.79871e-08,0.0259416,0.0273381,
3.73666,5.83106,0.874855,0.746423,5.10531e-08,3.42765e-07,0.0106746,0.236954,-5.32556e-11,-6.27772e-07,0.327134,0.425174,-1.80644e-08,-6.47362e-08,0.0108103,-0.061416,1.25933e-08,3.84756e-08,0.0244311,0.0505693,
3.23604,4.80684,0.803919,1.17909,-4.11641e-08,3.77152e-07,0.0165285,0.228832,-6.92065e-09,-1.19051e-07,0.330935,0.345969,-3.38609e-08,2.32299e-07,0.011288,-0.0328668,4.33837e-09,2.3706e-07,0.0250185,0.0666232,
2.89441,4.15104,0.779891,1.54729,7.32603e-09,-1.57005e-08,0.0187959,0.21915,-1.57919e-08,-5.85942e-08,0.336545,0.369648,2.62425e-08,2.68561e-07,0.0137714,-0.0144057,-4.64181e-09,-1.53123e-08,0.0273917,0.0794864,
2.64222,3.68942,0.7831,1.85244,1.06914e-09,3.21563e-08,0.0210163,0.193267,-2.31246e-08,1.91602e-08,0.347225,0.349311,1.16698e-08,9.66787e-08,0.0181478,0.0150127,2.82973e-10,1.44462e-08,0.0309827,0.081653,
2.50663,3.44911,0.801523,2.00947,1.1247e-08,8.23627e-08,0.0200163,0.17452,-1.67334e-08,8.5018e-08,0.352896,0.325029,1.60912e-08,6.10049e-08,0.0237647,0.0322443,4.09332e-09,-3.25328e-09,0.0328807,0.0804585,
2.38998,3.24677,0.829506,2.12951,2.29763e-08,-1.1407e-08,0.0168479,0.158038,-1.15085e-08,2.55485e-08,0.35696,0.299732,1.50748e-08,2.81768e-08,0.0313881,0.0445962,3.01495e-09,-2.76517e-08,0.0347938,0.0789719,
2.28823,3.07363,0.863752,2.21435,1.68206e-08,-8.29108e-08,0.0123225,0.145964,-2.73773e-08,3.70864e-08,0.360155,0.281251,1.07021e-08,-1.30781e-08,0.0398701,0.0521164,2.4297e-09,-5.22252e-08,0.0362518,0.0764729,
2.19846,2.92344,0.901342,2.27225,1.03301e-08,-1.14359e-07,0.00684516,0.136853,-2.94452e-08,1.40005e-07,0.363401,0.264822,-1.78943e-10,-4.49831e-09,0.0492396,0.0567194,-4.49391e-09,-9.01255e-08,0.0373146,0.0750842,
2.11849,2.79169,0.941272,2.30936,1.48187e-10,-1.44426e-07,0.000387991,0.130978,-1.77934e-08,1.85768e-07,0.366073,0.248827,-9.90321e-10,4.92729e-08,0.0594179,0.0573702,-1.89185e-08,-8.72089e-08,0.0384892,0.0742417,
2.04665,2.67497,0.982376,2.32866,-1.57032e-08,-1.37657e-07,-0.00656072,0.128657,-1.12643e-08,1.84338e-07,0.368186,0.236513,9.62235e-09,5.93843e-08,0.0696528,0.0544151,-3.06174e-08,-3.27403e-08,0.0395918,0.0730346,
1.86833,2.39193,1.10185,2.31979,-2.87519e-08,3.80723e-08,-0.0274815,0.13317,5.97957e-09,2.81657e-07,0.376157,0.210787,-2.85321e-09,-7.79563e-08,0.0996666,0.0374634,-2.18516e-08,1.2249e-07,0.0416838,0.0726765,
1.72974,2.17854,1.21283,2.26559,-1.06216e-08,8.20819e-08,-0.048757,0.148197,5.12415e-08,2.49541e-07,0.38314,0.182126,-2.96339e-08,2.23682e-08,0.129129,0.00995463,2.89067e-09,1.45319e-07,0.0448913,0.0748218,
1.61802,2.01072,1.31317,2.19261,3.58768e-09,9.00495e-08,-0.0681188,0.16992,7.41837e-08,1.76012e-07,0.389845,0.164518,-2.5067e-08,7.76311e-08,0.155363,-0.0196296,2.63586e-08,1.00329e-07,0.0476475,0.0774601,
1.52549,1.87455,1.40384,2.12279,2.14407e-08,6.31137e-08,-0.0857511,0.193365,9.86824e-08,1.22883e-07,0.399261,0.143375,-3.04026e-08,1.03376e-07,0.182069,-0.0483617,3.56785e-08,1.75182e-08,0.0516424,0.084145,
1.4472,1.76136,1.49236,2.06156,2.94776e-08,1.7658e-09,-0.102089,0.219312,1.23049e-07,3.54324e-08,0.407817,0.110194,-3.31348e-08,1.69944e-07,0.209507,-0.0836472,2.79159e-08,-4.59216e-08,0.0592638,0.0904315,
1.33985,1.60913,1.64571,1.95786,1.40746e-08,-6.30387e-08,-0.122595,0.267745,1.33521e-07,-1.29505e-07,0.412442,0.0505263,-2.2581e-09,2.60115e-07,0.245726,-0.157531,3.72692e-09,-6.5437e-08,0.0767713,0.0893893,
1.25331,1.48893,1.79948,1.83196,-4.85358e-09,-4.79106e-08,-0.131198,0.313113,1.18274e-07,-2.27192e-07,0.407553,0.0124424,4.11361e-08,2.4308e-07,0.261886,-0.228995,-9.51675e-09,-3.53433e-08,0.092192,0.0768697,
1.18164,1.39108,1.93973,1.68766,-8.52921e-09,-1.36643e-08,-0.130251,0.347532,1.01065e-07,-2.73655e-07,0.400499,-0.00307553,6.68095e-08,1.80572e-07,0.262623,-0.282453,-1.12036e-08,-9.1474e-09,0.10225,0.0623241,
1.121,1.30949,2.05915,1.53869,-2.42731e-09,2.84232e-09,-0.124332,0.370478,8.58609e-08,-3.0445e-07,0.395144,-0.00660859,7.64717e-08,1.28722e-07,0.256204,-0.317509,-8.67325e-09,2.74557e-09,0.108281,0.0506063,
0.792665,0.886913,2.50495,0.626027,-1.00388e-08,-7.11678e-09,-0.0713572,0.405618,-8.42171e-08,-2.0113e-07,0.387803,-0.0141264,1.16318e-07,-7.83619e-08,0.205235,-0.390024,-7.35607e-09,1.01338e-08,0.144949,0.0210176,
0.457646,0.489062,2.54596,0.0795428,-6.7656e-09,-2.21002e-08,-0.0180759,0.385069,-7.26229e-08,-6.3014e-08,0.384078,-0.0148372,-1.94369e-08,-6.89939e-08,0.14689,-0.386499,-3.30945e-09,1.41828e-08,0.305085,0.0100525,
