non_omiga,non_omiga_e,A_added22,B_added22,A_added23,B_added23,A_added24,B_added24,A_added32,B_added32,A_added33,B_added33,A_added34,B_added34,A_added42,B_added42,A_added43,B_added43,A_added44,B_added44,
6.47209,19.0385,0.692281,-0.0181674,-3.03575e-05,-0.000426841,2.35579e-05,0.20656,-0.000718584,0.00272135,13543.3,3210.63,0.0029712,-0.0156537,-9.17474e-05,-0.209533,-0.000468071,0.012002,0.0213018,-0.00172221,
4.57646,10.8596,0.669031,-0.018234,0.00107818,0.0050828,-0.000491013,0.206592,0.00191483,0.0245222,9377,28896.7,-0.00706693,-0.173268,-0.00031056,-0.222325,0.0100162,0.0226396,0.020525,-6.74978e-05,
3.73666,7.92545,0.631502,0.0748588,-0.00157128,0.00122117,-0.00136946,0.20351,-0.00407131,0.00993758,6427.23,50250,0.020769,-0.0701439,-0.00213348,-0.205918,-0.00903445,0.00756091,0.0193743,0.00777927,
3.23604,6.37764,0.586601,0.170907,0.00122132,0.00850865,-0.00129593,0.212352,-0.00191389,-0.00613943,7110.72,66631.5,0.0167058,0.0655177,-0.00450807,-0.209515,0.0075945,0.0632956,0.0184425,0.020823,
2.89441,5.40768,0.534952,0.387115,0.00355698,-0.00488769,0.00295278,0.20894,-0.00190897,0.0228358,9893.83,73447.8,0.014114,-0.180336,-0.0107281,-0.186322,0.0240054,-0.0454483,0.0190865,0.0319776,
2.64222,4.73661,0.501935,0.66112,0.000159485,-0.0121894,0.00534358,0.183396,0.00907666,0.0166354,13948.2,79938.9,-0.0753173,-0.109347,-0.0123506,-0.146297,-0.00890736,-0.0877289,0.0211606,0.0352049,
2.50663,4.39158,0.49432,0.822195,-0.00252302,-0.00990225,0.00679304,0.160389,0.0121079,-0.000541531,17859.2,81069.7,-0.091291,0.0511562,-0.0128033,-0.118627,-0.0293091,-0.0498243,0.0216887,0.0345184,
2.38998,4.10357,0.49524,0.963401,-0.00411857,-0.00538781,0.00383978,0.146203,0.0109714,-0.013688,21983.4,79544.4,-0.0755853,0.1446,-0.00862502,-0.102293,-0.0359407,-0.00461942,0.0230241,0.0320208,
2.28823,3.85902,0.502886,1.06639,-0.00471042,-0.000779572,0.00198839,0.123927,0.00798161,-0.0216216,25902.2,76359.2,-0.0393174,0.20544,-0.00574649,-0.0790305,-0.0333249,0.0349654,0.0229417,0.0324983,
2.19846,3.64842,0.514891,1.15375,-0.00442266,0.00282647,-0.00433725,0.115812,0.00420929,-0.0239677,29469.2,72308.3,-0.00446936,0.195227,0.00174304,-0.0709406,-0.0233731,0.0560688,0.0241142,0.03143,
2.11849,3.46488,0.531895,1.21164,-0.0037132,0.00518304,-0.00712053,0.110543,0.00114906,-0.023289,32641.5,67909.4,0.0191865,0.182332,0.00542801,-0.0665302,-0.0135085,0.0647733,0.0237221,0.0292734,
2.04665,3.30329,0.548113,1.25151,-0.00277855,0.00659443,-0.0129575,0.0976645,-0.00144227,-0.0215038,35447,63461.2,0.0453056,0.155854,0.012124,-0.0541287,-0.00262155,0.0669947,0.0237146,0.0322978,
1.86833,2.91553,0.606937,1.3083,-6.34581e-05,0.00695563,-0.0292087,0.10429,-0.00522711,-0.013825,41952.4,50975.7,0.0625173,0.0677736,0.0306753,-0.064509,0.0190449,0.0427851,0.0241243,0.0318463,
1.72974,2.62734,0.660025,1.30809,0.00188184,0.00532714,-0.0506176,0.111092,-0.00661959,-0.00957878,46234.6,40647,0.0684123,0.0242472,0.0540082,-0.0742007,0.0292257,0.0167995,0.0260224,0.0392135,
1.61802,2.40342,0.7141,1.26899,0.0028225,0.00340678,-0.0613846,0.131408,-0.0067339,-0.00762909,48941.6,32483.4,0.0624851,0.0192537,0.066011,-0.0982055,0.0266747,-0.00167378,0.0259571,0.040178,
1.52549,2.22362,0.753837,1.22529,0.00333036,0.00205134,-0.0783518,0.134998,-0.00784688,-0.00740764,50607.9,26169,0.0797666,0.0126995,0.0840085,-0.103574,0.0248321,-0.0091082,0.0272381,0.0501254,
1.4472,2.07552,0.795174,1.1911,0.00359594,0.000830548,-0.0960198,0.160871,-0.00938665,-0.00624914,51588.9,21272.7,0.0872492,-0.00908413,0.102978,-0.131671,0.0216891,-0.0172371,0.0314499,0.0538918,
1.33985,1.87841,0.856662,1.1053,0.00328266,-0.000502027,-0.107018,0.189479,-0.0108355,-0.00478279,52293.4,15419.6,0.0940859,-0.0166314,0.114921,-0.163993,0.0107398,-0.0190573,0.0334478,0.0562963,
1.25331,1.72455,0.893202,1.03999,0.00291534,-0.000874888,-0.127523,0.193772,-0.0132609,-0.00420719,52420.2,11506.3,0.126069,-0.0350792,0.136135,-0.169313,0.00863688,-0.0142077,0.0365434,0.0692182,
1.18164,1.60051,0.932646,1.00433,0.00284184,-0.00111295,-0.154052,0.21891,-0.0162563,-0.00237478,52290.3,8777.22,0.142533,-0.0764819,0.164211,-0.195489,0.00971437,-0.0156253,0.0454362,0.0784663,
1.121,1.49799,0.979054,0.961614,0.00270218,-0.00142933,-0.168586,0.25202,-0.0180727,0.000104228,52028.8,6812.53,0.132947,-0.109226,0.180104,-0.230687,0.00598359,-0.0180995,0.0542558,0.079988,
0.792665,0.981161,1.28023,0.848381,0.00396774,-0.000669392,-0.359559,0.399848,-0.0311377,0.0103894,49635.4,638.849,-0.040336,-0.28913,0.385704,-0.380702,0.0281061,-0.0338113,0.161246,0.156915,
0.457646,0.520477,1.73513,0.021202,-0.00419803,-0.00305673,-0.0733564,0.531134,0.0262009,0.0159477,46159,-1015.07,-1.05056,0.0776916,0.0866437,-0.541354,-0.180609,0.0109682,0.679946,0.0176072,
